policy,n_records,n_valid,coverage,abstain_rate,mean_regret,mean_gain_vs_raw,top1_oracle_rate,harm_rate,mean_harm_when_harmed,readiness_precision,readiness_recall,readiness_f1,readiness_accuracy,tp,fp,tn,fn
oracle,672,672,1.0,0.0,0.0,0.4004955429190321,1.0,0.0,nan,1.0,1.0,1.0,1.0,624,0,48,0
dp_abstain,672,672,1.0,0.34226190476190477,0.27622276524754014,0.12427277767149147,0.17410714285714285,0.3913690476190476,0.2302637230173066,1.0,0.6041666666666666,0.7532467532467533,0.6324404761904762,377,0,48,247
dp_gbdt,672,672,1.0,0.0,0.29650440524096433,0.10399113767806774,0.1949404761904762,0.3288690476190476,0.2875333145769478,1.0,0.5993589743589743,0.749498997995992,0.6279761904761905,374,0,48,250
P1b-static,672,672,1.0,0.0,0.296505324360637,0.10399021855839517,0.22767857142857142,0.34375,0.29450178967619844,1.0,0.6089743589743589,0.7569721115537847,0.6369047619047619,380,0,48,244
raw,672,672,1.0,0.0,0.4004955429190321,0.0,0.07142857142857142,0.0,nan,nan,0.0,nan,0.07142857142857142,0,0,48,624
d_lookup,672,672,1.0,0.0,0.414742825067961,-0.014247282148928944,0.07291666666666667,0.46726190476190477,0.27721498548087636,1.0,0.4791666666666667,0.647887323943662,0.5163690476190477,299,0,48,325
global,672,672,1.0,0.0,0.4264289903749465,-0.02593344745591441,0.08779761904761904,0.3169642857142857,0.35191629865864077,1.0,0.30448717948717946,0.4668304668304668,0.3541666666666667,190,0,48,434
