uid,origin,cell,policy,action,valid,abstained,raw_action,raw_loss,oracle_action,oracle_loss,oracle_gain_vs_raw,oracle_actionable,selected_loss,regret,gain_vs_raw,predicted_actionable,harmed_vs_raw,top1_oracle
S2:S_ar:n_hi_full:7,S_ar,forecast|snrLow|full,global,v_median,True,False,v_none,1.022810409708162,f0_median_w15,0.9619232700971837,0.06088713961097836,True,0.9950195829404259,0.033096312843242215,0.027790826767736143,True,False,False
S2:S_ar:n_hi_full:7,S_ar,forecast|snrLow|full,d_lookup,v_winsor,True,False,v_none,1.022810409708162,f0_median_w15,0.9619232700971837,0.06088713961097836,True,1.0149833243993387,0.05306005430215499,0.007827085308823367,True,False,False
S2:S_ar:n_hi_full:7,S_ar,forecast|snrLow|full,dp_gbdt,v_winsor,True,False,v_none,1.022810409708162,f0_median_w15,0.9619232700971837,0.06088713961097836,True,1.0149833243993387,0.05306005430215499,0.007827085308823367,True,False,False
S2:S_ar:n_hi_full:7,S_ar,forecast|snrLow|full,dp_abstain,v_winsor,True,False,v_none,1.022810409708162,f0_median_w15,0.9619232700971837,0.06088713961097836,True,1.0149833243993387,0.05306005430215499,0.007827085308823367,True,False,False
S2:S_ar:n_hi_full:7,S_ar,forecast|snrLow|full,P1b-static,v_winsor_savgol,True,False,v_none,1.022810409708162,f0_median_w15,0.9619232700971837,0.06088713961097836,True,1.0245902272405258,0.06266695714334214,-0.001779817532363781,False,True,False
S2:S_ar:n_hi_full:7,S_ar,forecast|snrLow|full,oracle,f0_median_w15,True,False,v_none,1.022810409708162,f0_median_w15,0.9619232700971837,0.06088713961097836,True,0.9619232700971837,0.0,0.06088713961097836,True,False,True
S2:S_ar:n_hi_rand_hi:1,S_ar,forecast|snrLow|miss,raw,v_none,True,False,v_none,1.116079127091175,v_wavelet,1.0539649990430857,0.062114128048089245,True,1.116079127091175,0.062114128048089245,0.0,False,False,False
S2:S_ar:n_hi_rand_hi:1,S_ar,forecast|snrLow|miss,global,v_median,True,False,v_none,1.116079127091175,v_wavelet,1.0539649990430857,0.062114128048089245,True,1.1084079708619112,0.054442971818825514,0.007671156229263731,True,False,False
S2:S_ar:n_hi_rand_hi:1,S_ar,forecast|snrLow|miss,d_lookup,v_median,True,False,v_none,1.116079127091175,v_wavelet,1.0539649990430857,0.062114128048089245,True,1.1084079708619112,0.054442971818825514,0.007671156229263731,True,False,False
S2:S_ar:n_hi_rand_hi:1,S_ar,forecast|snrLow|miss,dp_gbdt,v_winsor,True,False,v_none,1.116079127091175,v_wavelet,1.0539649990430857,0.062114128048089245,True,1.1462471619154537,0.09228216287236801,-0.030168034824278767,False,True,False
S2:S_ar:n_hi_rand_hi:1,S_ar,forecast|snrLow|miss,dp_abstain,v_median,True,True,v_none,1.116079127091175,v_wavelet,1.0539649990430857,0.062114128048089245,True,1.1084079708619112,0.054442971818825514,0.007671156229263731,True,False,False
S2:S_ar:n_hi_rand_hi:1,S_ar,forecast|snrLow|miss,P1b-static,v_winsor,True,False,v_none,1.116079127091175,v_wavelet,1.0539649990430857,0.062114128048089245,True,1.1462471619154537,0.09228216287236801,-0.030168034824278767,False,True,False
S2:S_ar:n_hi_rand_hi:1,S_ar,forecast|snrLow|miss,oracle,v_wavelet,True,False,v_none,1.116079127091175,v_wavelet,1.0539649990430857,0.062114128048089245,True,1.0539649990430857,0.0,0.062114128048089245,True,False,True
S2:S_ar:n_hi_rand_hi:7,S_ar,forecast|snrLow|miss,raw,v_none,True,False,v_none,1.0143660026731636,v_savgol,0.9987124641152483,0.015653538557915292,True,1.0143660026731636,0.015653538557915292,0.0,False,False,False
S2:S_ar:n_hi_rand_hi:7,S_ar,forecast|snrLow|miss,global,v_median,True,False,v_none,1.0143660026731636,v_savgol,0.9987124641152483,0.015653538557915292,True,1.0113838857232853,0.012671421608037026,0.0029821169498782663,True,False,False
S2:S_ar:n_hi_rand_hi:7,S_ar,forecast|snrLow|miss,d_lookup,v_median,True,False,v_none,1.0143660026731636,v_savgol,0.9987124641152483,0.015653538557915292,True,1.0113838857232853,0.012671421608037026,0.0029821169498782663,True,False,False
S2:S_ar:n_hi_rand_hi:7,S_ar,forecast|snrLow|miss,dp_gbdt,v_winsor,True,False,v_none,1.0143660026731636,v_savgol,0.9987124641152483,0.015653538557915292,True,1.0270621503328001,0.02834968621755185,-0.012696147659636559,False,True,False
S2:S_ar:n_hi_rand_hi:7,S_ar,forecast|snrLow|miss,dp_abstain,v_median,True,True,v_none,1.0143660026731636,v_savgol,0.9987124641152483,0.015653538557915292,True,1.0113838857232853,0.012671421608037026,0.0029821169498782663,True,False,False
S2:S_ar:n_hi_rand_hi:7,S_ar,forecast|snrLow|miss,P1b-static,f0_median_w15,True,False,v_none,1.0143660026731636,v_savgol,0.9987124641152483,0.015653538557915292,True,1.1182484841803608,0.11953602006511255,-0.10388248150719726,False,True,False
S2:S_ar:n_hi_rand_hi:7,S_ar,forecast|snrLow|miss,oracle,v_savgol,True,False,v_none,1.0143660026731636,v_savgol,0.9987124641152483,0.015653538557915292,True,0.9987124641152483,0.0,0.015653538557915292,True,False,True
S2:S_ar:n_hi_rand_hi:8,S_ar,forecast|snrLow|miss,raw,v_none,True,False,v_none,1.0208491274413445,v_savgol,0.9692555824569007,0.051593544984443795,True,1.0208491274413445,0.051593544984443795,0.0,False,False,False
S2:S_ar:n_hi_rand_hi:8,S_ar,forecast|snrLow|miss,global,v_median,True,False,v_none,1.0208491274413445,v_savgol,0.9692555824569007,0.051593544984443795,True,0.9868931182798738,0.017637535822973116,0.03395600916147068,True,False,False
S2:S_ar:n_hi_rand_hi:8,S_ar,forecast|snrLow|miss,d_lookup,v_median,True,False,v_none,1.0208491274413445,v_savgol,0.9692555824569007,0.051593544984443795,True,0.9868931182798738,0.017637535822973116,0.03395600916147068,True,False,False
S2:S_ar:n_hi_rand_hi:8,S_ar,forecast|snrLow|miss,dp_gbdt,v_winsor,True,False,v_none,1.0208491274413445,v_savgol,0.9692555824569007,0.051593544984443795,True,1.0257696837768209,0.056514101319920185,-0.004920556335476389,False,True,False
S2:S_ar:n_hi_rand_hi:8,S_ar,forecast|snrLow|miss,dp_abstain,v_winsor,True,False,v_none,1.0208491274413445,v_savgol,0.9692555824569007,0.051593544984443795,True,1.0257696837768209,0.056514101319920185,-0.004920556335476389,False,True,False
S2:S_ar:n_hi_rand_hi:8,S_ar,forecast|snrLow|miss,P1b-static,v_winsor,True,False,v_none,1.0208491274413445,v_savgol,0.9692555824569007,0.051593544984443795,True,1.0257696837768209,0.056514101319920185,-0.004920556335476389,False,True,False
S2:S_ar:n_hi_rand_hi:8,S_ar,forecast|snrLow|miss,oracle,v_savgol,True,False,v_none,1.0208491274413445,v_savgol,0.9692555824569007,0.051593544984443795,True,0.9692555824569007,0.0,0.051593544984443795,True,False,True
S2:S_ar:n_hi_rand_lo:5,S_ar,forecast|snrLow|miss,raw,v_none,True,False,v_none,1.1119729587585576,f0_median_w25,1.0043665382350295,0.10760642052352809,True,1.1119729587585576,0.10760642052352809,0.0,False,False,False
