cell,uid,origin,snr,fold,action,oof_nrmse
forecast|snrHigh|full,S_both:d_hi_full:16,S_both,11.783969136859152,3,v_stl,0.9524586127927086
forecast|snrHigh|full,S_both:d_hi_full:16,S_both,11.783969136859152,3,v_winsor,1.0509565819651583
forecast|snrHigh|full,S_both:d_hi_full:16,S_both,11.783969136859152,3,v_winsor_savgol,0.9699210335288947
forecast|snrHigh|full,S_both:d_hi_full:17,S_both,13.303776040010565,4,v_none,0.6016760256995413
forecast|snrHigh|full,S_both:d_hi_full:17,S_both,13.303776040010565,4,v_median,0.5524554842502644
forecast|snrHigh|full,S_both:d_hi_full:17,S_both,13.303776040010565,4,v_savgol,0.7339831992889696
forecast|snrHigh|full,S_both:d_hi_full:17,S_both,13.303776040010565,4,v_stl,0.7848468893323657
forecast|snrHigh|full,S_both:d_hi_full:17,S_both,13.303776040010565,4,v_winsor,0.9660137443193206
forecast|snrHigh|full,S_both:d_hi_full:17,S_both,13.303776040010565,4,v_winsor_savgol,0.8875178971947777
forecast|snrHigh|full,S_both:d_hi_full:18,S_both,13.137194391547357,0,v_none,0.6719531519003253
forecast|snrHigh|full,S_both:d_hi_full:18,S_both,13.137194391547357,0,v_median,0.4797934219593778
forecast|snrHigh|full,S_both:d_hi_full:18,S_both,13.137194391547357,0,v_savgol,0.7831638871773832
forecast|snrHigh|full,S_both:d_hi_full:18,S_both,13.137194391547357,0,v_stl,0.8399545497414028
forecast|snrHigh|full,S_both:d_hi_full:18,S_both,13.137194391547357,0,v_winsor,1.033301282504445
forecast|snrHigh|full,S_both:d_hi_full:18,S_both,13.137194391547357,0,v_winsor_savgol,0.9477772065248543
forecast|snrHigh|full,S_both:d_hi_full:19,S_both,12.529816499119137,1,v_none,1.1548831448711359
forecast|snrHigh|full,S_both:d_hi_full:19,S_both,12.529816499119137,1,v_median,0.47940058129836044
forecast|snrHigh|full,S_both:d_hi_full:19,S_both,12.529816499119137,1,v_savgol,1.264027878346971
forecast|snrHigh|full,S_both:d_hi_full:19,S_both,12.529816499119137,1,v_stl,1.198527861578169
forecast|snrHigh|full,S_both:d_hi_full:19,S_both,12.529816499119137,1,v_winsor,1.0776686567281228
forecast|snrHigh|full,S_both:d_hi_full:19,S_both,12.529816499119137,1,v_winsor_savgol,1.0017372622080976
forecast|snrHigh|full,S_both:d_hi_full:2,S_both,11.753400957168926,2,v_none,1.0642771264347732
forecast|snrHigh|full,S_both:d_hi_full:2,S_both,11.753400957168926,2,v_median,0.5473589611614604
forecast|snrHigh|full,S_both:d_hi_full:2,S_both,11.753400957168926,2,v_savgol,1.198057909020337
forecast|snrHigh|full,S_both:d_hi_full:2,S_both,11.753400957168926,2,v_stl,1.1746854146535746
forecast|snrHigh|full,S_both:d_hi_full:2,S_both,11.753400957168926,2,v_winsor,1.2073629276054163
forecast|snrHigh|full,S_both:d_hi_full:2,S_both,11.753400957168926,2,v_winsor_savgol,1.173143755422598
forecast|snrHigh|full,S_both:d_hi_full:3,S_both,10.402691676212461,3,v_none,0.6148761809240547
forecast|snrHigh|full,S_both:d_hi_full:3,S_both,10.402691676212461,3,v_median,0.5116313609842746
forecast|snrHigh|full,S_both:d_hi_full:3,S_both,10.402691676212461,3,v_savgol,0.6943773029914844
forecast|snrHigh|full,S_both:d_hi_full:3,S_both,10.402691676212461,3,v_stl,0.7632286524919881
forecast|snrHigh|full,S_both:d_hi_full:3,S_both,10.402691676212461,3,v_winsor,1.0027587449621345
forecast|snrHigh|full,S_both:d_hi_full:3,S_both,10.402691676212461,3,v_winsor_savgol,0.9291012467099278
forecast|snrHigh|full,S_both:d_hi_full:4,S_both,11.874922530476454,4,v_none,0.5904430982153043
forecast|snrHigh|full,S_both:d_hi_full:4,S_both,11.874922530476454,4,v_median,0.4706704812169304
forecast|snrHigh|full,S_both:d_hi_full:4,S_both,11.874922530476454,4,v_savgol,0.751158756119869
