policy,n_records,n_valid,coverage,abstain_rate,mean_regret,mean_gain_vs_raw,top1_oracle_rate,harm_rate,mean_harm_when_harmed,readiness_precision,readiness_recall,readiness_f1,readiness_accuracy,tp,fp,tn,fn
dp_abstain,672,672,1.0,0.34226190476190477,0.27622276524754014,0.12427277767149147,0.17410714285714285,0.3913690476190476,0.2302637230173066,1.0,0.6041666666666666,0.7532467532467533,0.6324404761904762,377,0,48,247
dp_abstain_abstain_to_raw,672,672,1.0,0.34226190476190477,0.30311659375993194,0.09737894915909977,0.17261904761904762,0.22023809523809523,0.30565626759974857,1.0,0.4198717948717949,0.5914221218961625,0.46130952380952384,262,0,48,362
dp_abstain_support_q75,672,672,1.0,0.34226190476190477,0.30415303532074994,0.09634250759828185,0.17410714285714285,0.14136904761904762,0.4328565563839408,1.0,0.3541666666666667,0.5230769230769231,0.40029761904761907,221,0,48,403
dp_abstain_support_q95,672,672,1.0,0.34226190476190477,0.30637376181054554,0.09412178110848604,0.17708333333333334,0.20089285714285715,0.3300757835272378,1.0,0.41185897435897434,0.5834279228149829,0.4538690476190476,257,0,48,367
dp_abstain_support_q50,672,672,1.0,0.34226190476190477,0.316440741875335,0.08405480104369675,0.14732142857142858,0.09523809523809523,0.4301789092054398,1.0,0.2516025641025641,0.4020486555697823,0.30505952380952384,157,0,48,467
raw,672,672,1.0,0.0,0.4004955429190321,0.0,0.07142857142857142,0.0,nan,nan,0.0,nan,0.07142857142857142,0,0,48,624
